PrId	QuantS	QuantP	Date1
1	1	1	2
1	8	5	12/1/2018
4	4	3	12/1/2018
2	8	5	12/1/2018
4	6	4	12/1/2018
3	4	2	12/1/2018
3	2	9	12/1/2018
4	5	7	12/1/2018
2	9	2	12/2/2018
2	4	6	12/2/2018
3	4	4	12/2/2018
2	3	4	12/2/2018
2	7	6	12/2/2018
4	5	6	12/2/2018
1	2	4	12/2/2018
2	6	3	12/2/2018
2	5	8	12/2/2018
2	6	6	12/3/2018
1	4	4	12/3/2018
1	6	5	12/3/2018
1	8	3	12/3/2018
2	9	6	12/3/2018
3	4	2	12/3/2018
3	8	4	12/3/2018
4	1	1	12/3/2018
3	9	7	12/3/2018
1	9	3	12/4/2018
2	5	7	12/4/2018
2	8	3	12/4/2018
2	2	6	12/4/2018
3	7	4	12/4/2018
1	3	5	12/4/2018
3	3	4	12/4/2018
3	6	4	12/4/2018
2	4	4	12/4/2018
1	9	3	12/5/2018
1	8	7	12/5/2018
2	4	9	12/5/2018
2	8	2	12/5/2018
4	7	2	12/5/2018
4	8	5	12/5/2018
2	4	7	12/5/2018
3	9	1	12/5/2018
2	6	3	12/5/2018
1	5	4	12/6/2018
3	7	8	12/6/2018
3	3	4	12/6/2018
2	2	5	12/6/2018
2	5	4	12/6/2018
3	5	5	12/6/2018
1	1	3	12/6/2018
4	5	3	12/6/2018
3	5	4	12/6/2018
3	3	4	12/7/2018
3	5	6	12/7/2018
3	5	2	12/7/2018
4	2	2	12/7/2018
2	9	2	12/7/2018
3	6	5	12/7/2018
1	1	2	12/7/2018
2	5	4	12/7/2018
4	2	5	12/7/2018
3	9	2	12/8/2018
3	5	4	12/8/2018
1	3	4	12/8/2018
2	5	1	12/8/2018
1	4	5	12/8/2018
2	3	5	12/8/2018
4	7	3	12/8/2018
4	4	4	12/8/2018
3	6	2	12/8/2018
3	3	5	12/8/2018
2	7	6	12/8/2018
2	7	5	12/8/2018
4	5	3	12/9/2018
1	2	2	12/9/2018
2	9	5	12/9/2018
1	4	3	12/9/2018
3	7	1	12/9/2018
2	3	3	12/9/2018
2	7	2	12/10/2018
4	8	3	12/10/2018
1	8	2	12/10/2018
3	9	3	12/10/2018
1	7	3	12/10/2018
3	1	3	12/10/2018
1	2	7	12/10/2018
2	3	3	12/10/2018
1	7	9	12/10/2018
1	6	3	12/15/2018
2	8	5	12/18/2018
